"stop_id","stop_name","stop_desc","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"35","Stewart Manor","New Hyde Park Road and Manor Road, South of Stewart Avenue., North of Plaza Road.","40.72302","-73.68102","http://lirr42.mta.info/stationInfo.php?id=35","2"
"36","Nassau Boulevard","Nassau Boulevard and South Avenue, 4 blocks South of Stewart Avenue.","40.72295","-73.6627","http://lirr42.mta.info/stationInfo.php?id=36","1"
"37","Garden City","7th Street between Hilton and Cathedral Avenues.","40.72309","-73.64036","http://lirr42.mta.info/stationInfo.php?id=37","1"
"38","Country Life Press","Intersection of Damson and Saint James Street.","40.72145","-73.62967","http://lirr42.mta.info/stationInfo.php?id=38","1"
"39","Hempstead","Off West Columbia Street and Main Street","40.71329","-73.62503","http://lirr42.mta.info/stationInfo.php?id=39","1"
"40","New Hyde Park","New Hyde Park Road and 2nd Avenue, just South of Jericho Turnpike (Route 25).","40.73075","-73.68096","http://lirr42.mta.info/stationInfo.php?id=40","1"
"41","Merillon Avenue","Nassau Boulevard and Merillon Avenue, just South of Jericho Turnpike (Route 25).","40.73516","-73.66252","http://lirr42.mta.info/stationInfo.php?id=41","1"
"42","Mineola","Front Street and Mineola Boulevard, one block north of Old Country Road.    ","40.74034","-73.64086","http://lirr42.mta.info/stationInfo.php?id=42","1"
"43","East Williston","Hillside Avenue and Pennsylvania Avenue, between Willis Avenue and Roslyn Road.","40.75601","-73.63941","http://lirr42.mta.info/stationInfo.php?id=43","1"
"44","Albertson","I.U. Willets Road and Albertson Avenue, between Willis Avenue and Roslyn Road.","40.77205","-73.64169","http://lirr42.mta.info/stationInfo.php?id=44","1"
"45","Roslyn","Lincoln Avenue and Railroad Avenue,  just West of Roslyn Road.","40.79047","-73.64326","http://lirr42.mta.info/stationInfo.php?id=45","1"
"46","Greenvale","Off Helen Street, between Glen Cove Avenue and Glen Cove Road.   Three blocks North of 25A (Northern Boulevard).","40.81571","-73.62687","http://lirr42.mta.info/stationInfo.php?id=46","1"
"47","Glen Head","Glen Head Road and School Street","40.83222","-73.62612","http://lirr42.mta.info/stationInfo.php?id=47","1"
"48","Sea Cliff","Sea Cliff Avenue, East of Glen Cove Avenue and just West of Route 107.","40.85236","-73.62542","http://lirr42.mta.info/stationInfo.php?id=48","1"
"49","Glen Street","Cedar Swamp Road (Glen Street) and Elm Avenue, just east of Glen Cove Highway (Route 107).","40.85797","-73.62122","http://lirr42.mta.info/stationInfo.php?id=49","1"
"50","Glen Cove","Duck Pond Road and Pearsall Avenue, off Norfolk Lane.","40.86583","-73.61616","http://lirr42.mta.info/stationInfo.php?id=50","1"
"51","Locust Valley","Birch Hill Road / Piping Rock Road, just South of Forest Avenue.  ","40.87446","-73.5983","http://lirr42.mta.info/stationInfo.php?id=51","1"
"53","Oyster Bay","Off Maxwell Avenue, between Shore and Larabee Avenues.","40.87533","-73.53403","http://lirr42.mta.info/stationInfo.php?id=53","1"
"54","Carle Place","Cherry Lane and Atlantic Avenue, 1/4 mile North of Old Country Road.","40.7492","-73.60365","http://lirr42.mta.info/stationInfo.php?id=54","1"
"55","Westbury","Union and Post Avenues, 1/4 mile North of Old Country Road.","40.75345","-73.58586","http://lirr42.mta.info/stationInfo.php?id=55","1"
"56","Hicksville","Newbridge Road (Route 106) and West Barclay Street.  One mile South of Exit 41 South off Long Island Expressway, or Exit 35 South off the Northern State Parkway.","40.76717","-73.52853","http://lirr42.mta.info/stationInfo.php?id=56","1"
"58","Syosset","Oyster Bay Road (also known as Jackson Avenue) and Underhill Boulevard, 1 mile North of Jericho Turnpike (Route 25)","40.82485","-73.50044","http://lirr42.mta.info/stationInfo.php?id=58","1"
"59","Cold Spring Harbor","West Pulaski Road and East Gate Drive, just South of Woodbury Road.","40.83563","-73.45108","http://lirr42.mta.info/stationInfo.php?id=59","1"
"60","Huntington","New York Avenue (Route 110) and Broadway, 2 miles North of Jericho Turnpike.  ","40.853","-73.40952","http://lirr42.mta.info/stationInfo.php?id=60","1"
"61","Greenlawn","Broadway (Centerport Road) and Boulevard Avenue, 1/4 mile North of Pulaski Road.","40.86866","-73.36285","http://lirr42.mta.info/stationInfo.php?id=61","1"
"62","Northport","Larkfield Road and Bellerose Avenue, North of Pulaski Road.","40.88064","-73.32848","http://lirr42.mta.info/stationInfo.php?id=62","1"
"63","Kings Park","Indian Head Road and Main Street, just South of Route 25A.","40.88366","-73.25625","http://lirr42.mta.info/stationInfo.php?id=63","1"
"64","Smithtown","Redwood Lane and Scott Lane, off Main Street and just West of Route 111.","40.85654","-73.19803","http://lirr42.mta.info/stationInfo.php?id=64","1"
"65","St. James","Lake Avenue and 2nd Street, just South of Route 25A and North of Route 25. ","40.88216","-73.15951","http://lirr42.mta.info/stationInfo.php?id=65","1"
"66","Stony Brook","North Country Road (Route 25A) and Chapman Street, just West of Nicolls Road.","40.92031","-73.12855","http://lirr42.mta.info/stationInfo.php?id=66","1"
"67","Port Jefferson","Route 112 (Main Street) and Oakland Avenue ","40.93454","-73.0525","http://lirr42.mta.info/stationInfo.php?id=67","1"
"68","Bethpage","Stewart Avenue and Jackson Avenue, 1 mile North of Hempstead Turnpike (Route 24), off Railroad Avenue.","40.74303","-73.48344","http://lirr42.mta.info/stationInfo.php?id=68","1"
"69","Farmingdale","Off Secatague Avenue, on Front Street and Atlantic Avenue, just North of Conklin Street.","40.73591","-73.44124","http://lirr42.mta.info/stationInfo.php?id=69","1"
"70","Pinelawn","Wellwood Avenue and Long Island Avenue (on Cemetery grounds).The LIRR platform is ADA accessible, but the building at the station site, maintained by the cemetery, is not.","40.74535","-73.3996","http://lirr42.mta.info/stationInfo.php?id=70","1"
"71","Wyandanch","Straight Path and Long Island Avenue, off Acorn Street.","40.75479","-73.35806","http://lirr42.mta.info/stationInfo.php?id=71","1"
"72","Deer Park","Intersection of Pineaire Drive, Grant (Executive) Avenue, and Long Island Avenue, between Commack Road and Sagtikos Parkway.","40.76948","-73.29356","http://lirr42.mta.info/stationInfo.php?id=72","1"
"73","Brentwood","Brentwood Road and Suffolk Avenue, 1/2 mile East of Brentwood Road, just South of Suffolk Avenue.","40.78083","-73.24361","http://lirr42.mta.info/stationInfo.php?id=73","1"
"74","Central Islip","Lowell and Suffolk Avenues, 1/2 mile East of Wheelers Road, 1 mile West of Veteran's Highway.","40.79184","-73.19486","http://lirr42.mta.info/stationInfo.php?id=74","1"
"75","Ronkonkoma","Hawkins Avenue, 2 blocks South of the Long Island Expressway Exit 60.","40.80808","-73.10594","http://lirr42.mta.info/stationInfo.php?id=75","1"
"77","Medford","Medford Avenue (Route 112) and Long Island Avenue, 1/4 mile South of Exit 64 off the Long Island Expressway.","40.81739","-72.99891","http://lirr42.mta.info/stationInfo.php?id=77","1"
"78","Yaphank","Yaphank Avenue and Park Street, 1 mile North of Highway 27 (Exit 57).","40.8256","-72.91588","http://lirr42.mta.info/stationInfo.php?id=78","1"
"79","Riverhead","Osborne Avenue and Railroad Street, just North of West Main Street (Route 25).","40.91983","-72.66691","http://lirr42.mta.info/stationInfo.php?id=79","1"
"80","Mattituck","Love Lane and Pike Street, just North of Route 25.","40.99179","-72.53606","http://lirr42.mta.info/stationInfo.php?id=80","1"
"81","Southold","Youngs Avenue and Traveler Street, just North of Main Road (Route 25).","41.0662","-72.4281","http://lirr42.mta.info/stationInfo.php?id=81","1"
"82","Greenport","Wiggins and 4th Streets at Ferry Dock.","41.0997","-72.3631","http://lirr42.mta.info/stationInfo.php?id=82","1"
"83","St. Albans","Linden Boulevard and Montauk Street, off 180th Street.","40.69118","-73.76551","http://lirr42.mta.info/stationInfo.php?id=83","2"
"84","Locust Manor","Farmers Boulevard and Bedell Street.","40.67513","-73.76504","http://lirr42.mta.info/stationInfo.php?id=84","2"
"85","Laurelton","224th Street and 141st Roadjust East of Springfield Boulevard.","40.66847","-73.75175","http://lirr42.mta.info/stationInfo.php?id=85","2"
"86","Rosedale","Francis Lewis Boulevard and Sunrise Highway","40.66594","-73.73555","http://lirr42.mta.info/stationInfo.php?id=86","1"
"87","Valley Stream","Franklin Avenue and Sunrise Highway, just West of Rockaway Avenue. ","40.66151","-73.70476","http://lirr42.mta.info/stationInfo.php?id=87","1"
"88","Westwood","The intersection of Foster Avenue and Motley Street, 1/2 mile North of East Merrick Road.","40.66836","-73.68121","http://lirr42.mta.info/stationInfo.php?id=88","1"
"89","Malverne","Hempstead Avenue and Utterby Road","40.67547","-73.66886","http://lirr42.mta.info/stationInfo.php?id=89","1"
"90","Lakeview","Woodfield Road and Eagle Avenue.","40.68585","-73.65214","http://lirr42.mta.info/stationInfo.php?id=90","1"
"91","Hempstead Gardens","Hempstead Gardens Drive and Chestnut Street, just East of Woodfield Road.","40.69491","-73.64621","http://lirr42.mta.info/stationInfo.php?id=91","1"
"92","West Hempstead","Hempstead Avenue and Hempstead Gardens Drive.","40.70195","-73.64164","http://lirr42.mta.info/stationInfo.php?id=92","1"
"93","Gibson","The intersection of Gibson and Munro Boulevards, South of Sunrise Highway.","40.64924","-73.70183","http://lirr42.mta.info/stationInfo.php?id=93","1"
"94","Hewlett","Franklin Avenue between Broadway and West Broadway.","40.63676","-73.70514","http://lirr42.mta.info/stationInfo.php?id=94","1"
"95","Woodmere","Woodmere Boulevard and Cedar Lane, between Central Avenue and West Broadway.","40.63133","-73.71371","http://lirr42.mta.info/stationInfo.php?id=95","1"
"96","Cedarhurst","Cedarhurst Avenue and Chestnut Street, 2 blocks West of Broadway.","40.62217","-73.72618","http://lirr42.mta.info/stationInfo.php?id=96","1"
"97","Lawrence","Lawrence Avenue and Bayview Avenue, 2 blocks West of Central Avenue.","40.61573","-73.7359","http://lirr42.mta.info/stationInfo.php?id=97","1"
"98","Inwood","Off Doughty Boulevard, 2 blocks West of Central Avenue.","40.61228","-73.74418","http://lirr42.mta.info/stationInfo.php?id=98","1"
"99","Far Rockaway","Nameoke Street and Redfern Avenue, off Central Avenue.","40.60913","-73.75054","http://lirr42.mta.info/stationInfo.php?id=99","1"
"100","Lynbrook","Sunrise Highway and between Peninsula Boulevard and Broadway. ","40.65605","-73.67607","http://lirr42.mta.info/stationInfo.php?id=100","1"
"101","Centre Avenue","Forest Avenue between Rocklyn and Centre Avenue, 1 block East of Atlantic Avenue.","40.64831","-73.66397","http://lirr42.mta.info/stationInfo.php?id=101","1"
"102","East Rockaway","Ocean Avenue and Davison Place, 2 blocks North of Atlantic Avenue next to Shopping Plaza.","40.6422","-73.65821","http://lirr42.mta.info/stationInfo.php?id=102","1"
"103","Oceanside","Weidner Avenue and LawsonBoulevard.","40.63471","-73.65466","http://lirr42.mta.info/stationInfo.php?id=103","1"
"104","Island Park","Long Beach Road and Austin Boulevard.","40.60129","-73.65474","http://lirr42.mta.info/stationInfo.php?id=104","1"
"105","Long Beach","Park Place and Park Avenue, 1/4 mile West of Long Beach Road.","40.59017","-73.66482","http://lirr42.mta.info/stationInfo.php?id=105","1"
"106","Rockville Centre","North Village Avenue and Front Street, just North of Sunrise Highway (Route 27).","40.65831","-73.64655","http://lirr42.mta.info/stationInfo.php?id=106","1"
"107","Baldwin","Sunrise Highway and Grand Avenue, North side of Sunrise Highway (Route 27).","40.65672","-73.60716","http://lirr42.mta.info/stationInfo.php?id=107","1"
"108","Freeport","Between Henry Street and Benson Place, north of Sunrise Highway (Route 27).","40.65745","-73.58232","http://lirr42.mta.info/stationInfo.php?id=108","1"
"109","Merrick","Sunrise Highway (Route 27), between Hewlett Avenue and Merrick Avenue.","40.66379","-73.55062","http://lirr42.mta.info/stationInfo.php?id=109","1"
"110","Bellmore","Sunrise Highway (Route 27) and Bedford Avenue, North side of Sunrise Highway, between Newbridge Road and Bellmore Avenue.","40.66879","-73.52886","http://lirr42.mta.info/stationInfo.php?id=110","1"
"111","Wantagh","Wantagh Avenue and Railroad Avenue, just North of Sunrise Highway (Route 27).","40.67298","-73.50896","http://lirr42.mta.info/stationInfo.php?id=111","1"
"112","Seaford","Sunrise Highway (Route 27) and Jackson Avenue.","40.67572","-73.48657","http://lirr42.mta.info/stationInfo.php?id=112","1"
"113","Massapequa","Sunrise Highway (Route 27), just East of Broadway and Route 107.","40.67692","-73.46905","http://lirr42.mta.info/stationInfo.php?id=113","1"
"114","Massapequa Park","Sunrise Highway (Route 27) and Park Boulevard.","40.67785","-73.45474","http://lirr42.mta.info/stationInfo.php?id=114","2"
"115","Amityville","John Street, between Sunrise Highway (Route 27) and Route 27A, just west of Route 110.","40.68024","-73.42031","http://lirr42.mta.info/stationInfo.php?id=115","2"
"116","Copiague","Marconi Boulevard and Great Neck Road, just North of Oak Street.","40.68101","-73.39834","http://lirr42.mta.info/stationInfo.php?id=116","2"
"117","Lindenhurst","Wellwood Avenue and East Hoffman Avenue between Sunrise Highway (Route 27) and Montauk Highway (Route 27A).","40.68826","-73.36921","http://lirr42.mta.info/stationInfo.php?id=117","2"
"118","Babylon","Railroad Avenue just West of Deer Park Avenue, 1 mile South of Sunrise Highway (Route 27).","40.70068","-73.32405","http://lirr42.mta.info/stationInfo.php?id=118","1"
"119","Bay Shore","Park Avenue and Oak Street to Railroad Plaza, just North of Union Boulevard.","40.72443","-73.25408","http://lirr42.mta.info/stationInfo.php?id=119","1"
"120","Islip","Islip Avenue (Route 111), between Sunrise Highway (Route 27) and Montauk Highway (Route 27A).  North of Union Boulevard, south of Moffitt Boulevard.","40.73583","-73.20932","http://lirr42.mta.info/stationInfo.php?id=120","1"
"121","Great River","Connetquot Avenue and Hawthorne Avenue, between Sunrise Highway (Route 27) and Montauk Highway (Route 27A).","40.74044","-73.17019","http://lirr42.mta.info/stationInfo.php?id=121","1"
"122","Oakdale","Montauk Highway (Route 27A) and Oakdale-Bohemia Road.","40.74342","-73.13243","http://lirr42.mta.info/stationInfo.php?id=122","1"
"123","Sayville","Lakeland Avenue, 1 mile South of Sunrise Highway (Route 27).","40.74035","-73.08645","http://lirr42.mta.info/stationInfo.php?id=123","1"
"124","Patchogue","Division Street and Ocean Avenue, Just South of Main Street.","40.76187","-73.01574","http://lirr42.mta.info/stationInfo.php?id=124","1"
"126","Bellport","Station Road and Montauk Highway, South side of Main Street (Route 27A).","40.77373","-72.94396","http://lirr42.mta.info/stationInfo.php?id=126","1"
"127","Mastic Shirley","William Floyd Parkway and Northern Boulevard, just South of 27A.","40.79898","-72.86442","http://lirr42.mta.info/stationInfo.php?id=127","1"
"129","Speonk","Phillips Avenue and Depot Road, just North of Montauk Highway (Route 27A).","40.82117","-72.70427","http://lirr42.mta.info/stationInfo.php?id=129","1"
"130","Westhampton","Station Road and Depot Road, 1/2 mile North of Montauk Highway (Route 27A).","40.8303","-72.65032","http://lirr42.mta.info/stationInfo.php?id=130","1"
"132","Hampton Bays","Springville Road and Goodground Road, just west of Ponquogue Avenue.","40.8766","-72.52395","http://lirr42.mta.info/stationInfo.php?id=132","1"
"134","Southampton","North Main Street, between Prospect and Willow.  One mile north of Montauk Highway.","40.89471","-72.39012","http://lirr42.mta.info/stationInfo.php?id=134","1"
"135","Bridgehampton","Maple Lane and Butter Lane, 1/4 mile north of Montauk Highway (Route 27A).","40.93898","-72.31005","http://lirr42.mta.info/stationInfo.php?id=135","1"
"136","East Hampton","Newtown Lane and Race Lane, 1/4 mile north of Main Street.","40.96508","-72.19324","http://lirr42.mta.info/stationInfo.php?id=136","1"
"137","Amagansett","Main Street and Abrams Landing Road.","40.98003","-72.13233","http://lirr42.mta.info/stationInfo.php?id=137","1"
"138","Montauk","Edgemere Street and Fort Pond Road.  One mile north Old Montauk Highway.","41.0471","-71.95388","http://lirr42.mta.info/stationInfo.php?id=138","1"
